areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E07000041,Exeter,ltla,2021-12-08,,,39
E07000041,Exeter,ltla,2021-12-07,,,95
E07000041,Exeter,ltla,2021-12-06,,,111
E07000041,Exeter,ltla,2021-12-05,,,110
E07000041,Exeter,ltla,2021-12-04,,,125
E07000041,Exeter,ltla,2021-12-03,,,112
E07000041,Exeter,ltla,2021-12-02,,,139
E07000041,Exeter,ltla,2021-12-01,,,126
E07000041,Exeter,ltla,2021-11-30,,,129
E07000041,Exeter,ltla,2021-11-29,,,160
E07000041,Exeter,ltla,2021-11-28,,,123
E07000041,Exeter,ltla,2021-11-27,,,88
E07000041,Exeter,ltla,2021-11-26,,,83
E07000041,Exeter,ltla,2021-11-25,,,109
E07000041,Exeter,ltla,2021-11-24,,,108
E07000041,Exeter,ltla,2021-11-23,,,127
E07000041,Exeter,ltla,2021-11-22,,,103
E07000041,Exeter,ltla,2021-11-21,,,72
E07000041,Exeter,ltla,2021-11-20,,,100
E07000041,Exeter,ltla,2021-11-19,,,86
E07000041,Exeter,ltla,2021-11-18,,,90
E07000041,Exeter,ltla,2021-11-17,,,130
E07000041,Exeter,ltla,2021-11-16,,,126
E07000041,Exeter,ltla,2021-11-15,,,96
E07000041,Exeter,ltla,2021-11-14,,,98
E07000041,Exeter,ltla,2021-11-13,,,70
E07000041,Exeter,ltla,2021-11-12,,,85
E07000041,Exeter,ltla,2021-11-11,,,104
E07000041,Exeter,ltla,2021-11-10,,,86
E07000041,Exeter,ltla,2021-11-09,,,97
E07000041,Exeter,ltla,2021-11-08,,,106
E07000041,Exeter,ltla,2021-11-07,,,66
E07000041,Exeter,ltla,2021-11-06,,,81
E07000041,Exeter,ltla,2021-11-05,,,68
E07000041,Exeter,ltla,2021-11-04,,,59
E07000041,Exeter,ltla,2021-11-03,,,81
E07000041,Exeter,ltla,2021-11-02,,,68
E07000041,Exeter,ltla,2021-11-01,,,83
E07000041,Exeter,ltla,2021-10-31,,,63
E07000041,Exeter,ltla,2021-10-30,,,52
E07000041,Exeter,ltla,2021-10-29,,,97
E07000041,Exeter,ltla,2021-10-28,,,93
E07000041,Exeter,ltla,2021-10-27,,,88
E07000041,Exeter,ltla,2021-10-26,,,85
E07000041,Exeter,ltla,2021-10-25,,,84
E07000041,Exeter,ltla,2021-10-24,,,52
E07000041,Exeter,ltla,2021-10-23,,,61
E07000041,Exeter,ltla,2021-10-22,,,82
E07000041,Exeter,ltla,2021-10-21,,,88
E07000041,Exeter,ltla,2021-10-20,,,102
E07000041,Exeter,ltla,2021-10-19,,,69
E07000041,Exeter,ltla,2021-10-18,,,104
E07000041,Exeter,ltla,2021-10-17,,,73
E07000041,Exeter,ltla,2021-10-16,,,59
E07000041,Exeter,ltla,2021-10-15,,,54
E07000041,Exeter,ltla,2021-10-14,,,67
E07000041,Exeter,ltla,2021-10-13,,,46
E07000041,Exeter,ltla,2021-10-12,,,64
E07000041,Exeter,ltla,2021-10-11,,,74
